Vowel Ending,Number / ਵਚਨ,Grammar / ਵਯਾਕਰਣ,Gender / ਲਿੰਗ,Word Root,Type,Evaluation,Reference Verse,Darpan Translation,Darpan Meaning,ChatGPT Commentry,Word Index,Row State
ਤੁਧ ਨੋ,Singular / ਇਕ,Accusative ਕਰਮ,Trans / ਨਪੁਂਸਕ,2nd Person / ਮਧਮ ਪੁਰਖ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
ਤੁਧਹੁ,Singular / ਇਕ,Ablative ਅਪਾਦਾਨ,Trans / ਨਪੁਂਸਕ,2nd Person / ਮਧਮ ਪੁਰਖ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
ਤੁਧੁ,Singular / ਇਕ,Nominative ਕਰਤਾ,Trans / ਨਪੁਂਸਕ,2nd Person / ਮਧਮ ਪੁਰਖ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
ਤੁਧੁ,Singular / ਇਕ,Accusative ਕਰਮ,Trans / ਨਪੁਂਸਕ,2nd Person / ਮਧਮ ਪੁਰਖ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
ਤੁਧੁ,Singular / ਇਕ,Dative ਸੰਪ੍ਦਾਨ,Trans / ਨਪੁਂਸਕ,2nd Person / ਮਧਮ ਪੁਰਖ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
ਤੁਧੁ,Singular / ਇਕ,Locative ਅਧਿਕਰਣ,Trans / ਨਪੁਂਸਕ,2nd Person / ਮਧਮ ਪੁਰਖ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
ਤੁਧੁਨੋ,Singular / ਇਕ,Accusative ਕਰਮ,Trans / ਨਪੁਂਸਕ,2nd Person / ਮਧਮ ਪੁਰਖ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
ਤੁਧੈ,Singular / ਇਕ,Nominative ਕਰਤਾ,Trans / ਨਪੁਂਸਕ,2nd Person / ਮਧਮ ਪੁਰਖ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
ਤੁਧੈ,Singular / ਇਕ,Accusative ਕਰਮ,Trans / ਨਪੁਂਸਕ,2nd Person / ਮਧਮ ਪੁਰਖ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
ਤੁਧੈ,Singular / ਇਕ,Locative ਅਧਿਕਰਣ,Trans / ਨਪੁਂਸਕ,2nd Person / ਮਧਮ ਪੁਰਖ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
ਤੁਧੈ ਤੇ,Singular / ਇਕ,Ablative ਅਪਾਦਾਨ,Trans / ਨਪੁਂਸਕ,2nd Person / ਮਧਮ ਪੁਰਖ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
ਤੁਮ,Plural / ਬਹੁ,Nominative ਕਰਤਾ,Trans / ਨਪੁਂਸਕ,2nd Person / ਮਧਮ ਪੁਰਖ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
ਤੁਮ,Plural / ਬਹੁ,Accusative ਕਰਮ,Trans / ਨਪੁਂਸਕ,2nd Person / ਮਧਮ ਪੁਰਖ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
ਤੁਮ,Plural / ਬਹੁ,Dative ਸੰਪ੍ਦਾਨ,Trans / ਨਪੁਂਸਕ,2nd Person / ਮਧਮ ਪੁਰਖ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
ਤੁਮ,Plural / ਬਹੁ,Locative ਅਧਿਕਰਣ,Trans / ਨਪੁਂਸਕ,2nd Person / ਮਧਮ ਪੁਰਖ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
ਤੁਮ ਹੀ,Plural / ਬਹੁ,Nominative ਕਰਤਾ,Trans / ਨਪੁਂਸਕ,2nd Person / ਮਧਮ ਪੁਰਖ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
ਤੁਮ ਕਉ,Plural / ਬਹੁ,Dative ਸੰਪ੍ਦਾਨ,Trans / ਨਪੁਂਸਕ,2nd Person / ਮਧਮ ਪੁਰਖ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
ਤੁਮ ਤੇ,Plural / ਬਹੁ,Ablative ਅਪਾਦਾਨ,Trans / ਨਪੁਂਸਕ,2nd Person / ਮਧਮ ਪੁਰਖ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
ਤੁਮਹਿ,Plural / ਬਹੁ,Nominative ਕਰਤਾ,Trans / ਨਪੁਂਸਕ,2nd Person / ਮਧਮ ਪੁਰਖ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
ਤੁਮਹਿ,Plural / ਬਹੁ,Accusative ਕਰਮ,Trans / ਨਪੁਂਸਕ,2nd Person / ਮਧਮ ਪੁਰਖ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
ਤੁਮਹਿ,Plural / ਬਹੁ,Locative ਅਧਿਕਰਣ,Trans / ਨਪੁਂਸਕ,2nd Person / ਮਧਮ ਪੁਰਖ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
ਤੁਮਰਾ,Plural / ਬਹੁ,Genitive ਸੰਬੰਧ,Trans / ਨਪੁਂਸਕ,2nd Person / ਮਧਮ ਪੁਰਖ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
ਤੁਮਰਾ,Singular / ਇਕ,Possessive Pronominal / ਸੰਬੰਧ ਦਰਸਾਊ,Masculine / ਪੁਲਿੰਗ,2nd Person / ਮਧਮ ਪੁਰਖ,Adjectives / ਵਿਸ਼ੇਸ਼ਣ,Predefined,,,,,,
ਤੁਮਰੀ,Plural / ਬਹੁ,Genitive ਸੰਬੰਧ,Trans / ਨਪੁਂਸਕ,2nd Person / ਮਧਮ ਪੁਰਖ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
ਤੁਮਰੀ,Singular / ਇਕ,Possessive Pronominal / ਸੰਬੰਧ ਦਰਸਾਊ,Feminine / ਇਸਤਰੀ,2nd Person / ਮਧਮ ਪੁਰਖ,Adjectives / ਵਿਸ਼ੇਸ਼ਣ,Predefined,,,,,,
ਤੁਮਰੇ,Plural / ਬਹੁ,Genitive ਸੰਬੰਧ,Trans / ਨਪੁਂਸਕ,2nd Person / ਮਧਮ ਪੁਰਖ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
ਤੁਮਰੇ,Plural / ਬਹੁ,Possessive Pronominal / ਸੰਬੰਧ ਦਰਸਾਊ,Masculine / ਪੁਲਿੰਗ,2nd Person / ਮਧਮ ਪੁਰਖ,Adjectives / ਵਿਸ਼ੇਸ਼ਣ,Predefined,,,,,,
ਤੁਮਾਰੀ,Plural / ਬਹੁ,Genitive ਸੰਬੰਧ,Trans / ਨਪੁਂਸਕ,2nd Person / ਮਧਮ ਪੁਰਖ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
ਤੁਮੈ,Plural / ਬਹੁ,Nominative ਕਰਤਾ,Trans / ਨਪੁਂਸਕ,2nd Person / ਮਧਮ ਪੁਰਖ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
ਤੁਰੰਤਹ,,Time / ਸਮਾ ਵਾਚਕ,,,Adverb / ਕਿਰਿਆ ਵਿਸੇਸ਼ਣ,Predefined,,,,,,
ਤੁਰਦਾ,,Participle ਕਿਰਦੰਤ,Trans / ਨਪੁਂਸਕ,Present ਵਰਤਮਾਨ,Verb / ਕਿਰਿਆ,Predefined,,,,,,
ਤੁਰਿ,,,,,Postposition / ਸੰਬੰਧਕ,Predefined,,,,,,
ਤੁਲਿ,,"Equivalent to,Like, like those, those, that",,,Postposition / ਸੰਬੰਧਕ,Predefined,,,,,,
ਤੂ,Singular / ਇਕ,Nominative ਕਰਤਾ,Trans / ਨਪੁਂਸਕ,2nd Person / ਮਧਮ ਪੁਰਖ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
ਤੂ,Singular / ਇਕ,Accusative ਕਰਮ,Trans / ਨਪੁਂਸਕ,2nd Person / ਮਧਮ ਪੁਰਖ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
ਤੂ,Singular / ਇਕ,Genitive ਸੰਬੰਧ,Trans / ਨਪੁਂਸਕ,2nd Person / ਮਧਮ ਪੁਰਖ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
ਤੂਂ,Singular / ਇਕ,Nominative ਕਰਤਾ,Trans / ਨਪੁਂਸਕ,2nd Person / ਮਧਮ ਪੁਰਖ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
ਤੂੰ,Singular / ਇਕ,Accusative ਕਰਮ,Trans / ਨਪੁਂਸਕ,2nd Person / ਮਧਮ ਪੁਰਖ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
ਤੂ ਹੈ,Singular / ਇਕ,Nominative ਕਰਤਾ,Trans / ਨਪੁਂਸਕ,2nd Person / ਮਧਮ ਪੁਰਖ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
ਤੂਹੈ,Singular / ਇਕ,Nominative ਕਰਤਾ,Trans / ਨਪੁਂਸਕ,2nd Person / ਮਧਮ ਪੁਰਖ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
ਤੂਟਉ,Singular / ਇਕ,Future ਭਵਿੱਖਤ (Imperative ਆਗਿਆ ਬੋਧਕ),Trans / ਨਪੁਂਸਕ,3rd Person / ਅਨਯ ਪੁਰਖ,Verb / ਕਿਰਿਆ,Predefined,,,,,,
ਤੂਟਹਿ,Plural / ਬਹੁ,Future ਭਵਿੱਖਤ,Trans / ਨਪੁਂਸਕ,3rd Person / ਅਨਯ ਪੁਰਖ,Verb / ਕਿਰਿਆ,Predefined,,,,,,
ਤੇ,Plural / ਬਹੁ,Nominative ਕਰਤਾ,Trans / ਨਪੁਂਸਕ,3rd Person / ਅਨਯ ਪੁਰਖ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
ਤੇ,Plural / ਬਹੁ,Accusative ਕਰਮ,Trans / ਨਪੁਂਸਕ,3rd Person / ਅਨਯ ਪੁਰਖ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
ਤੇ,Plural / ਬਹੁ,Nominative ਕਰਤਾ,Trans / ਨਪੁਂਸਕ,CoRelative / ਅਨੁਸੰਬੰਧ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
ਤੇ,Plural / ਬਹੁ,Accusative ਕਰਮ,Trans / ਨਪੁਂਸਕ,CoRelative / ਅਨੁਸੰਬੰਧ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
ਤੇ,Plural / ਬਹੁ,Demonstrative ਨਿਸ਼ਚੇ,Masculine / ਪੁਲਿੰਗ,,Adjectives / ਵਿਸ਼ੇਸ਼ਣ,Predefined,,,,,,
ਤੇ,Plural / ਬਹੁ,Demonstrative ਨਿਸ਼ਚੇ,Feminine / ਇਸਤਰੀ,,Adjectives / ਵਿਸ਼ੇਸ਼ਣ,Predefined,,,,,,
ਤੇ,Plural / ਬਹੁ,Pronominal ਪੜਨਾਂਵੀ,Masculine / ਪੁਲਿੰਗ,,Adjectives / ਵਿਸ਼ੇਸ਼ਣ,Predefined,,,,,,
ਤੇ,Plural / ਬਹੁ,Present ਵਰਤਮਾਨ,Trans / ਨਪੁਂਸਕ,1st Person / ਉੱਤਮ ਪੁਰਖ,Verb / ਕਿਰਿਆ,Predefined,,,,,,
ਤੇ,Plural / ਬਹੁ,Present ਵਰਤਮਾਨ,Trans / ਨਪੁਂਸਕ,3rd Person / ਅਨਯ ਪੁਰਖ,Verb / ਕਿਰਿਆ,Predefined,,,,,,
ਤੇ,Plural / ਬਹੁ,Past ਭੁਤ,Masculine / ਪੁਲਿੰਗ,,Verb / ਕਿਰਿਆ,Predefined,,,,,,
ਤੇ,,"To, Of, For, From",,,Postposition / ਸੰਬੰਧਕ,Predefined,,,,,,
ੰਤੇ,Plural / ਬਹੁ,Present ਵਰਤਮਾਨ,Trans / ਨਪੁਂਸਕ,3rd Person / ਅਨਯ ਪੁਰਖ,Verb / ਕਿਰਿਆ,Predefined,,,,,,
ਤੇਊ,Plural / ਬਹੁ,Nominative ਕਰਤਾ,Trans / ਨਪੁਂਸਕ,3rd Person / ਅਨਯ ਪੁਰਖ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
ਤੇਹਾ,,"Like, like those, those, that",,,Postposition / ਸੰਬੰਧਕ,Predefined,,,,,,
ਤੇਜਣਿ,Singular / ਇਕ,ਤਤਸਮ ਸ਼ਬਦ,Feminine / ਇਸਤਰੀ,ਸਿਹਾਰੀ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ਤੇਜਨੜੀ,,ਅਲਪਾਰਥਕ / Diminutive,,,Noun / ਨਾਂਵ,Predefined,,,,,,
ਤੇਤਾ,Singular / ਇਕ,Accusative ਕਰਮ,Masculine / ਪੁਲਿੰਗ,Indefinite / ਅਨਿਸਚੇ ਵਾਚਕ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
ਤੇਤਾ,,Measurement / ਪਰਮਾਣ ਵਾਚਕ,,,Adverb / ਕਿਰਿਆ ਵਿਸੇਸ਼ਣ,Predefined,,,,,,
ਤੇਤੀ,Singular / ਇਕ,Nominative ਕਰਤਾ,Feminine / ਇਸਤਰੀ,Indefinite / ਅਨਿਸਚੇ ਵਾਚਕ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
ਤੇਰਉ,Singular / ਇਕ,Genitive ਸੰਬੰਧ,Trans / ਨਪੁਂਸਕ,2nd Person / ਮਧਮ ਪੁਰਖ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
ਤੇਰਾ,Singular / ਇਕ,Genitive ਸੰਬੰਧ,Trans / ਨਪੁਂਸਕ,2nd Person / ਮਧਮ ਪੁਰਖ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
ਤੇਰਾ,Singular / ਇਕ,Possessive Pronominal / ਸੰਬੰਧ ਦਰਸਾਊ,Masculine / ਪੁਲਿੰਗ,2nd Person / ਮਧਮ ਪੁਰਖ,Adjectives / ਵਿਸ਼ੇਸ਼ਣ,Predefined,,,,,,
ਤੇਰਿਆ,Singular / ਇਕ,Genitive ਸੰਬੰਧ,Trans / ਨਪੁਂਸਕ,2nd Person / ਮਧਮ ਪੁਰਖ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
ਤੇਰਿਆ,Plural / ਬਹੁ,Possessive Pronominal / ਸੰਬੰਧ ਦਰਸਾਊ,Masculine / ਪੁਲਿੰਗ,2nd Person / ਮਧਮ ਪੁਰਖ,Adjectives / ਵਿਸ਼ੇਸ਼ਣ,Predefined,,,,,,
ਤੇਰੀ,Singular / ਇਕ,Genitive ਸੰਬੰਧ,Trans / ਨਪੁਂਸਕ,2nd Person / ਮਧਮ ਪੁਰਖ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
ਤੇਰੀ,Singular / ਇਕ,Possessive Pronominal / ਸੰਬੰਧ ਦਰਸਾਊ,Feminine / ਇਸਤਰੀ,2nd Person / ਮਧਮ ਪੁਰਖ,Adjectives / ਵਿਸ਼ੇਸ਼ਣ,Predefined,,,,,,
ਤੇਰੀਆ,Plural / ਬਹੁ,Possessive Pronominal / ਸੰਬੰਧ ਦਰਸਾਊ,Feminine / ਇਸਤਰੀ,2nd Person / ਮਧਮ ਪੁਰਖ,Adjectives / ਵਿਸ਼ੇਸ਼ਣ,Predefined,,,,,,
ਤੇਰੇ,Singular / ਇਕ,Genitive ਸੰਬੰਧ,Trans / ਨਪੁਂਸਕ,2nd Person / ਮਧਮ ਪੁਰਖ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
ਤੇਰੇ,Singular / ਇਕ,Possessive Pronominal / ਸੰਬੰਧ ਦਰਸਾਊ,Masculine / ਪੁਲਿੰਗ,2nd Person / ਮਧਮ ਪੁਰਖ,Adjectives / ਵਿਸ਼ੇਸ਼ਣ,Predefined,,,,,,
ਤੇਰੇ,Plural / ਬਹੁ,Possessive Pronominal / ਸੰਬੰਧ ਦਰਸਾਊ,Masculine / ਪੁਲਿੰਗ,2nd Person / ਮਧਮ ਪੁਰਖ,Adjectives / ਵਿਸ਼ੇਸ਼ਣ,Predefined,,,,,,
ਤੇਰੈ,Singular / ਇਕ,Possessive Pronominal / ਸੰਬੰਧ ਦਰਸਾਊ,Masculine / ਪੁਲਿੰਗ,2nd Person / ਮਧਮ ਪੁਰਖ,Adjectives / ਵਿਸ਼ੇਸ਼ਣ,Predefined,,,,,,
ਤੇਰੋ,Singular / ਇਕ,Genitive ਸੰਬੰਧ,Trans / ਨਪੁਂਸਕ,2nd Person / ਮਧਮ ਪੁਰਖ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
ਤੇਵਰ,Plural / ਬਹੁ,Qualitative ਗੁਣ,Feminine / ਇਸਤਰੀ,,Adjectives / ਵਿਸ਼ੇਸ਼ਣ,Predefined,,,,,,
ਤੈ,Singular / ਇਕ,Nominative ਕਰਤਾ,Trans / ਨਪੁਂਸਕ,2nd Person / ਮਧਮ ਪੁਰਖ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
ਤੈ,Singular / ਇਕ,Dative ਸੰਪ੍ਦਾਨ,Trans / ਨਪੁਂਸਕ,2nd Person / ਮਧਮ ਪੁਰਖ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
ਤੈ,Singular / ਇਕ,Accusative ਕਰਮ,Trans / ਨਪੁਂਸਕ,CoRelative / ਅਨੁਸੰਬੰਧ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
ਤੈ,Singular / ਇਕ,Dative ਸੰਪ੍ਦਾਨ,Trans / ਨਪੁਂਸਕ,CoRelative / ਅਨੁਸੰਬੰਧ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
ਤੈ,,Cardinal Numeral / ਸੰਖਿਆ ਵਾਚਕ,,Three,Adjectives / ਵਿਸ਼ੇਸ਼ਣ,Predefined,,,,,,
ਤੈ,,"To, Of, For, From",,,Postposition / ਸੰਬੰਧਕ,Predefined,,,,,,
ਤੈ,,And,,,Conjunction / ਯੋਜਕ,Predefined,,,,,,
ਤੈਂ,Singular / ਇਕ,Nominative ਕਰਤਾ,Trans / ਨਪੁਂਸਕ,2nd Person / ਮਧਮ ਪੁਰਖ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
ਤੈ ਕੂੰ,Singular / ਇਕ,Dative ਸੰਪ੍ਦਾਨ,Trans / ਨਪੁਂਸਕ,2nd Person / ਮਧਮ ਪੁਰਖ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
ਤੈਡਾ,Singular / ਇਕ,Genitive ਸੰਬੰਧ,Trans / ਨਪੁਂਸਕ,2nd Person / ਮਧਮ ਪੁਰਖ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
ਤੈਡਾ,Singular / ਇਕ,Possessive Pronominal / ਸੰਬੰਧ ਦਰਸਾਊ,Masculine / ਪੁਲਿੰਗ,2nd Person / ਮਧਮ ਪੁਰਖ,Adjectives / ਵਿਸ਼ੇਸ਼ਣ,Predefined,,,,,,
ਤੈਡੀ,Singular / ਇਕ,Possessive Pronominal / ਸੰਬੰਧ ਦਰਸਾਊ,Feminine / ਇਸਤਰੀ,2nd Person / ਮਧਮ ਪੁਰਖ,Adjectives / ਵਿਸ਼ੇਸ਼ਣ,Predefined,,,,,,
ਤੈਡੇ,Singular / ਇਕ,Possessive Pronominal / ਸੰਬੰਧ ਦਰਸਾਊ,Masculine / ਪੁਲਿੰਗ,2nd Person / ਮਧਮ ਪੁਰਖ,Adjectives / ਵਿਸ਼ੇਸ਼ਣ,Predefined,,,,,,
ਤੈਡੇ,Plural / ਬਹੁ,Possessive Pronominal / ਸੰਬੰਧ ਦਰਸਾਊ,Masculine / ਪੁਲਿੰਗ,2nd Person / ਮਧਮ ਪੁਰਖ,Adjectives / ਵਿਸ਼ੇਸ਼ਣ,Predefined,,,,,,
ਤੈਡੈ,Singular / ਇਕ,Possessive Pronominal / ਸੰਬੰਧ ਦਰਸਾਊ,Masculine / ਪੁਲਿੰਗ,2nd Person / ਮਧਮ ਪੁਰਖ,Adjectives / ਵਿਸ਼ੇਸ਼ਣ,Predefined,,,,,,
ਤੋ,Singular / ਇਕ,Past ਭੁਤ,Masculine / ਪੁਲਿੰਗ,,Verb / ਕਿਰਿਆ,Predefined,,,,,,
ਤੋਐ,Singular / ਇਕ,Locative ਅਧਿਕਰਣ,Masculine / ਪੁਲਿੰਗ,ਕਨਾੱ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ਤੋਇ,Singular / ਇਕ,Locative ਅਧਿਕਰਣ,Masculine / ਪੁਲਿੰਗ,ਕਨਾੱ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ਤੋਇਆਹੁ,Singular / ਇਕ,Ablative ਅਪਾਦਾਨ,Masculine / ਪੁਲਿੰਗ,ਕਨਾੱ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ਤੋਸਾ,Singular / ਇਕ,Accusative ਕਰਮ,Masculine / ਪੁਲਿੰਗ,ਕਨਾੱ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ਤੋਹਿ,Singular / ਇਕ,Nominative ਕਰਤਾ,Trans / ਨਪੁਂਸਕ,2nd Person / ਮਧਮ ਪੁਰਖ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
ਤੋਹਿ,Singular / ਇਕ,Accusative ਕਰਮ,Trans / ਨਪੁਂਸਕ,2nd Person / ਮਧਮ ਪੁਰਖ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
ਤੋਹਿ,Singular / ਇਕ,Dative ਸੰਪ੍ਦਾਨ,Trans / ਨਪੁਂਸਕ,2nd Person / ਮਧਮ ਪੁਰਖ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
ਤੋਹਿ,Singular / ਇਕ,Genitive ਸੰਬੰਧ,Trans / ਨਪੁਂਸਕ,2nd Person / ਮਧਮ ਪੁਰਖ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
ਤੋਹਿ,Singular / ਇਕ,Locative ਅਧਿਕਰਣ,Trans / ਨਪੁਂਸਕ,2nd Person / ਮਧਮ ਪੁਰਖ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
ਤੋਹੀ,Singular / ਇਕ,Accusative ਕਰਮ,Trans / ਨਪੁਂਸਕ,2nd Person / ਮਧਮ ਪੁਰਖ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
ਤੋਖੀਲੇ,Singular / ਇਕ,Past ਭੁਤ,Masculine / ਪੁਲਿੰਗ,,Verb / ਕਿਰਿਆ,Predefined,,,,,,
ਤੋਟਿ,Singular / ਇਕ,ਤਤਸਮ ਸ਼ਬਦ,Feminine / ਇਸਤਰੀ,ਸਿਹਾਰੀ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ਤੋਰ,Singular / ਇਕ,Genitive ਸੰਬੰਧ,Trans / ਨਪੁਂਸਕ,2nd Person / ਮਧਮ ਪੁਰਖ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
ਤੋਰਬ,Plural / ਬਹੁ,Future ਭਵਿੱਖਤ,Trans / ਨਪੁਂਸਕ,1st Person / ਉੱਤਮ ਪੁਰਖ,Verb / ਕਿਰਿਆ,Predefined,,,,,,
ਤੋਰੁ,Singular / ਇਕ,Future ਭਵਿੱਖਤ (Imperative ਆਗਿਆ ਬੋਧਕ),Trans / ਨਪੁਂਸਕ,2nd Person / ਮਧਮ ਪੁਰਖ,Verb / ਕਿਰਿਆ,Predefined,,,,,,
ਤੋਰੁ,Singular / ਇਕ,Future ਭਵਿੱਖਤ (Imperative ਆਗਿਆ ਬੋਧਕ),Trans / ਨਪੁਂਸਕ,1st Person / ਉੱਤਮ ਪੁਰਖ,Verb / ਕਿਰਿਆ,Predefined,,,,,,
ਤੋਲਿ,Singular / ਇਕ,Future ਭਵਿੱਖਤ (Imperative ਆਗਿਆ ਬੋਧਕ),Trans / ਨਪੁਂਸਕ,2nd Person / ਮਧਮ ਪੁਰਖ,Verb / ਕਿਰਿਆ,Predefined,,,,,,
ਤ੍ਰਾਹਿ,Singular / ਇਕ,Future ਭਵਿੱਖਤ (Imperative ਆਗਿਆ ਬੋਧਕ),Trans / ਨਪੁਂਸਕ,2nd Person / ਮਧਮ ਪੁਰਖ,Verb / ਕਿਰਿਆ,Predefined,,,,,,
ਤ੍ਰਾਹਿ ਤ੍ਰਾਹਿ,,Painful,,,Interjection / ਵਿਸਮਿਕ,Predefined,,,,,,
ਤ੍ਰਾਹਿ ਤ੍ਰਾਹਿ,Singular / ਇਕ,Future ਭਵਿੱਖਤ (Imperative ਆਗਿਆ ਬੋਧਕ),Trans / ਨਪੁਂਸਕ,2nd Person / ਮਧਮ ਪੁਰਖ,Verb / ਕਿਰਿਆ,Predefined,,,,,,
ਤ੍ਰਾਂਘਿ,Singular / ਇਕ,Future ਭਵਿੱਖਤ (Imperative ਆਗਿਆ ਬੋਧਕ),Trans / ਨਪੁਂਸਕ,2nd Person / ਮਧਮ ਪੁਰਖ,Verb / ਕਿਰਿਆ,Predefined,,,,,,
ਤ੍ਰਿਸਨਾ,Singular / ਇਕ,Accusative ਕਰਮ,Feminine / ਇਸਤਰੀ,ਕਨਾੱ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ਤ੍ਰਿਸਨਾ,Singular / ਇਕ,Locative ਅਧਿਕਰਣ,Feminine / ਇਸਤਰੀ,ਕਨਾੱ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ਤ੍ਰਿਪਤਿ,Singular / ਇਕ,ਤਤਸਮ ਸ਼ਬਦ,Feminine / ਇਸਤਰੀ,ਸਿਹਾਰੀ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ਤ੍ਰਿਬਿਧਿ,Singular / ਇਕ,Qualitative ਗੁਣ,Feminine / ਇਸਤਰੀ,ਸਿਹਾਰੀ Ending,Adjectives / ਵਿਸ਼ੇਸ਼ਣ,Predefined,,,,,,
ਤ੍ਰੈ,,Cardinal Numeral / ਸੰਖਿਆ ਵਾਚਕ,,Three,Adjectives / ਵਿਸ਼ੇਸ਼ਣ,Predefined,,,,,,
ਤ੍ਰੈ ਲੋਈ,,Place / ਥਾਂ ਵਾਚਕ (Phrase form),,,Adverb / ਕਿਰਿਆ ਵਿਸੇਸ਼ਣ,Predefined,,,,,,
ਥਰ ਹਰ,,Manner / ਵਿਧੀ ਵਾਚਕ ਵੀਪਸਾ (Over & Over),,,Adverb / ਕਿਰਿਆ ਵਿਸੇਸ਼ਣ,Predefined,,,,,,
ਥਰ ਥਰ,,Manner / ਵਿਧੀ ਵਾਚਕ ਵੀਪਸਾ (Over & Over),,,Adverb / ਕਿਰਿਆ ਵਿਸੇਸ਼ਣ,Predefined,,,,,,
ਥਲਿ,Singular / ਇਕ,Locative ਅਧਿਕਰਣ,Masculine / ਪੁਲਿੰਗ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ਥਾ,Singular / ਇਕ,Auxiliary ਅਪੁਰਨ Past,Trans / ਨਪੁਂਸਕ,3rd Person / ਅਨਯ ਪੁਰਖ,Verb / ਕਿਰਿਆ,Predefined,,,,,,
ਥਾਈ,Plural / ਬਹੁ,Locative ਅਧਿਕਰਣ,Masculine / ਪੁਲਿੰਗ,ਕਨਾੱ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
